# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.526861577933e-10       8.144582625196e-15       2.981104796549e-13       1.179016596778e-16       1.219964456355e-10       8.146555265581e-12      -1.582236951611e-14 
   41       1.545188638946e-10       8.836332111828e-15       2.914350728424e-13       1.238461172940e-16       1.162703722872e-10       7.785303651043e-12      -1.310085635904e-14 
   42       1.563550305443e-10       9.568880319659e-15       2.833862491684e-13       1.299391253839e-16       1.109044455595e-10       7.439886264872e-12      -1.066624721365e-14 
   43       1.582000341384e-10       1.034211131242e-14       2.740210235550e-13       1.361808227377e-16       1.058855679455e-10       7.113260476098e-12      -8.703278018339e-15 
   44       1.600563723054e-10       1.115564118736e-14       2.634136627723e-13       1.425713429387e-16       1.011786596563e-10       6.807819809299e-12      -7.421165704284e-15 
   45       1.619247964116e-10       1.200901486006e-14       2.516239020883e-13       1.491107769041e-16       9.673950623141e-11       6.525051988953e-12      -6.988532962384e-15 
   46       1.638088378726e-10       1.290240501537e-14       2.385883132065e-13       1.557990478434e-16       9.256202546869e-11       6.264538880635e-12      -7.312310925117e-15 
   47       1.657111116541e-10       1.383609436642e-14       2.241978679953e-13       1.626359984206e-16       8.864214021107e-11       6.024550942181e-12      -8.194665825510e-15 
   48       1.676317746587e-10       1.481027676239e-14       2.083267073839e-13       1.696214223052e-16       8.496350556628e-11       5.802223814453e-12      -9.390859951592e-15 
   49       1.695683009877e-10       1.582505314816e-14       1.908310911920e-13       1.767550617395e-16       8.149659161293e-11       5.593479552951e-12      -1.060657244810e-14 
   50       1.715172090445e-10       1.688046972380e-14       1.715739044542e-13       1.840365997392e-16       7.820775366182e-11       5.394112923475e-12      -1.155780591938e-14 
   51       1.734803169118e-10       1.797665400781e-14       1.505084548127e-13       1.914656398424e-16       7.509147364545e-11       5.203580646323e-12      -1.217599209112e-14 
   52       1.754597964518e-10       1.911370872277e-14       1.276156056963e-13       1.990417166584e-16       7.214528469048e-11       5.022104543623e-12      -1.245392860344e-14 
   53       1.774562401315e-10       2.029167081765e-14       1.028803567013e-13       2.067642981324e-16       6.936011177553e-11       4.849572997257e-12      -1.238831882899e-14 
   54       1.794685281352e-10       2.151050941342e-14       7.629199608001e-14       2.146327828606e-16       6.671982443986e-11       4.685517007026e-12      -1.198003788882e-14 
   55       1.814949916474e-10       2.277012415460e-14       4.785012831384e-14       2.226465509951e-16       6.420627387949e-11       4.529301903663e-12      -1.124733027526e-14 
   56       1.835375455398e-10       2.407034449125e-14       1.758416097113e-14       2.308051379231e-16       6.181689427622e-11       4.380813107516e-12      -1.026863261086e-14 
   57       1.855983495702e-10       2.541092662007e-14      -1.446107410113e-14       2.391080990297e-16       5.955069055073e-11       4.239898791034e-12      -9.150854929832e-15 
   58       1.876785215678e-10       2.679155106841e-14      -4.823039863990e-14       2.475549593032e-16       5.740290854205e-11       4.106153948104e-12      -8.018134204762e-15 
   59       1.897780550461e-10       2.821182065566e-14      -8.365790657815e-14       2.561452127371e-16       5.536480139365e-11       3.978904854343e-12      -7.012604191370e-15 
   60       1.918957368161e-10       2.967125845455e-14      -1.206665826569e-13       2.648783217333e-16       5.342339593959e-11       3.857193527405e-12      -6.295165273220e-15 
   61       1.940301783384e-10       3.116933716948e-14      -1.591878710619e-13       2.737537987486e-16       5.156516547573e-11       3.740044469631e-12      -6.003473201040e-15 
   62       1.961833666823e-10       3.270557958905e-14      -1.992263769042e-13       2.827714740027e-16       4.978853992655e-11       3.627370016679e-12      -6.113144347704e-15 
   63       1.983577680475e-10       3.427947716613e-14      -2.408090769949e-13       2.919312870734e-16       4.809380194693e-11       3.519241553468e-12      -6.546620804981e-15 
   64       2.005552382415e-10       3.589045956948e-14      -2.839668979807e-13       3.012332119277e-16       4.647932082894e-11       3.415618711216e-12      -7.212626473760e-15 
   65       2.027769756303e-10       3.753789364193e-14      -3.287349679545e-13       3.106772589334e-16       4.494144283464e-11       3.316342784352e-12      -8.005579496638e-15 
   66       2.050234740897e-10       3.922108235857e-14      -3.751528680668e-13       3.202634768713e-16       4.347438152881e-11       3.221130147417e-12      -8.805004690528e-15 
   67       2.072944759561e-10       4.093926378491e-14      -4.232648841371e-13       3.299919549480e-16       4.207010811177e-11       3.129565671969e-12      -9.474945979250e-15 
   68       2.095895415226e-10       4.269160808409e-14      -4.731072274437e-13       3.398628227387e-16       4.072053742306e-11       3.041231185857e-12      -9.896143788549e-15 
   69       2.119099966933e-10       4.447721016287e-14      -5.246661277959e-13       3.498762455084e-16       3.942484544472e-11       2.956135791885e-12      -1.007145176885e-14 
   70       2.142572972675e-10       4.629509365710e-14      -5.779116620055e-13       3.600324315532e-16       3.818344431847e-11       2.874361317506e-12      -1.004082288610e-14 
   71       2.166324165932e-10       4.814421167879e-14      -6.328099531947e-13       3.703316361089e-16       3.699576782414e-11       2.795931914112e-12      -9.850680322307e-15 
   72       2.190358142869e-10       5.002344572441e-14      -6.893230891378e-13       3.807741633108e-16       3.586022042533e-11       2.720810927710e-12      -9.554167886744e-15 
   73       2.214674049526e-10       5.193160458317e-14      -7.474090406040e-13       3.913603681527e-16       3.477412631496e-11       2.648897769596e-12      -9.211400427110e-15 
   74       2.239265269019e-10       5.386742324531e-14      -8.070215796991e-13       4.020906584461e-16       3.373367846086e-11       2.580024787030e-12      -8.889714240711e-15 
   75       2.264119108728e-10       5.582956181042e-14      -8.681101982078e-13       4.129654967793e-16       3.273388765137e-11       2.513954133912e-12      -8.663917485636e-15 
   76       2.289222991100e-10       5.781661564338e-14      -9.306237567656e-13       4.239853087947e-16       3.176984486777e-11       2.450436097752e-12      -8.598169092925e-15 
   77       2.314585020828e-10       5.982715039373e-14      -9.945223811285e-13       4.351501843768e-16       3.084088680015e-11       2.389403277422e-12      -8.687246996723e-15 
   78       2.340216617315e-10       6.185967140852e-14      -1.059767596969e-12       4.464601252806e-16       2.994710088871e-11       2.330806293812e-12      -8.904975070365e-15 
   79       2.366126167258e-10       6.391261220399e-14      -1.126318786424e-12       4.579151340176e-16       2.908805574922e-11       2.274553635951e-12      -9.221520229216e-15 
   80       2.392318845199e-10       6.598433360455e-14      -1.194133182945e-12       4.695152138947e-16       2.826277714950e-11       2.220509791895e-12      -9.603266119381e-15 
   81       2.418796434085e-10       6.807312288170e-14      -1.263165866140e-12       4.812603690515e-16       2.746972398579e-11       2.168493379607e-12      -1.001268680641e-14 
   82       2.445557145821e-10       7.017719289296e-14      -1.333369756620e-12       4.931506044993e-16       2.670676425918e-11       2.118275277847e-12      -1.040822046402e-14 
   83       2.472595441831e-10       7.229468122080e-14      -1.404695610846e-12       5.051859261590e-16       2.597115105206e-11       2.069576757060e-12      -1.074414306279e-14 
   84       2.499905633681e-10       7.442369275558e-14      -1.477094127790e-12       5.173663476476e-16       2.526020500122e-11       2.022139219186e-12      -1.098062744675e-14 
